,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
292,456.67,27,15,0.18,7,6,2,103.81,76.38,2.55,3.59,4.73,2.97,2.85,3.34,-4.88,0.00599,1.31e-05,-4.88,0.00601,1.32e-05,-6.63,0.000107,2.33e-07,1,0,0,1,1,1,1,1,-6.54,0,0,0,0,0,0.56,0,1,2,3.17
293,230.26,15,0,0.75,2,5,2,62.92,98.92,1.33,-0.95,-0.19,-0.7,-0.18,-0.14,-0.54,66.8,0.29,-0.64,52.4,0.228,-0.36,101.0,0.44,1,0,0,0,0,0,0,0,-8.38,0,0,0,0,0,0.55,0,1,1,3.91
294,590.64,40,0,0.95,11,13,13,135.28,343.0,0.05,-8.24,-12.32,-25.27,-7.58,-10.67,2.42,154000.0,260.0,1.8,37000.0,62.6,4.82,39200000.0,66400.0,0,0,1,0,0,0,0,0,-15.75,3,4,2,1,4,0.17,0,1,2,7.04
295,584.6,40,0,0.86,9,12,14,133.03,344.23,-0.06,-7.99,-13.03,-9.65,-7.04,-7.55,2.16,85100.0,146.0,1.51,19000.0,32.4,4.6,23400000.0,40100.0,0,0,1,0,0,0,0,0,-15.54,3,4,1,1,4,0.17,0,3,2,7.05
296,248.25,16,0,0.75,2,6,2,62.98,98.92,1.3,-0.48,0.18,-0.13,-0.17,0.14,-0.94,28.2,0.114,-1.13,18.4,0.0741,-0.4,97.9,0.394,1,0,0,0,0,0,0,0,-8.16,0,0,0,0,0,0.55,0,1,1,4.16
297,279.3,20,0,0.67,2,8,4,84.13,96.65,0.93,-1.54,-2.46,-0.78,-1.72,-1.11,-0.47,94.8,0.339,0.02,291.0,1.04,-0.55,78.9,0.282,0,0,1,0,0,0,0,0,-9.1,0,1,0,0,0,0.55,0,2,0,4.32
298,164.17,11,9,0.0,0,5,1,39.06,107.5,0.19,-0.04,-0.68,-0.85,3.04,0.33,-1.44,5.99,0.0365,-1.77,2.81,0.0171,-2.32,0.784,0.00478,1,0,0,0,0,0,0,0,-7.33,0,3,0,0,1,0.56,0,1,1,2.08
299,136.13,10,6,0.0,2,4,1,35.69,55.98,0.74,-0.7,0.47,-0.06,-0.27,0.03,-0.56,37.9,0.279,-0.0,136.0,0.999,-1.64,3.15,0.0231,1,0,0,0,0,0,0,0,-7.63,0,3,0,0,1,0.85,0,2,1,1.21
300,492.58,36,12,0.48,7,6,1,136.05,77.52,4.3,5.27,5.94,4.13,4.8,4.89,-6.0,0.000494,1e-06,-6.65,0.000111,2.25e-07,-7.0,4.88e-05,9.91e-08,1,0,1,0,0,1,1,1,-5.56,0,3,0,1,1,0.55,0,1,2,5.43
301,452.44,30,5,0.25,9,11,3,105.89,247.32,-0.07,-2.59,-6.58,-7.57,1.36,-3.09,-0.54,130.0,0.287,-2.06,3.97,0.00876,-1.38,19.1,0.0422,0,0,0,0,0,0,0,0,-10.9,1,1,1,1,3,0.11,0,2,2,4.99
302,441.46,33,18,0.2,5,7,0,127.46,108.22,3.67,2.48,3.89,3.04,3.98,3.41,-4.21,0.027,6.12e-05,-4.4,0.0177,4.01e-05,-7.01,4.26e-05,9.66e-08,1,0,0,0,1,1,0,1,-7.23,0,0,0,0,0,0.56,1,1,1,4.3
303,437.37,32,16,0.21,10,11,3,104.65,213.87,0.09,-0.66,-3.97,-0.96,1.24,-0.85,-1.85,6.24,0.0143,-3.36,0.192,0.000439,-5.01,0.00431,9.86e-06,0,0,0,0,0,0,0,0,-9.44,1,1,1,1,2,0.11,0,0,2,3.36
304,470.42,34,12,0.3,11,11,5,120.22,221.63,0.4,-0.83,-6.75,-4.24,0.05,-2.27,-1.77,8.01,0.017,-3.34,0.213,0.000453,-3.7,0.0939,0.0002,0,0,0,0,0,0,0,0,-9.76,1,1,2,1,2,0.11,0,1,2,4.06
305,93.11,7,6,0.0,0,2,1,26.29,36.74,0.9,-1.22,0.12,-0.6,1.78,0.2,-0.28,48.5,0.521,0.94,817.0,8.78,-1.99,0.962,0.0103,1,0,0,0,0,0,0,0,-7.73,0,3,0,0,1,0.85,0,0,1,1.19
306,435.47,32,16,0.33,6,8,2,126.11,85.87,2.83,1.9,-1.26,-3.46,4.14,0.83,-3.71,0.0847,0.000195,-3.33,0.206,0.000472,-6.61,0.000108,2.48e-07,1,0,1,0,0,1,0,0,-7.61,0,1,0,0,0,0.55,0,0,1,3.19
307,363.39,25,6,0.31,5,6,3,92.46,166.74,1.47,-2.06,-3.59,-6.81,-0.33,-2.26,-0.64,82.7,0.228,-0.92,44.2,0.122,-1.73,6.77,0.0186,0,0,0,0,0,0,0,0,-9.98,0,1,1,1,2,0.55,0,0,1,4.4
308,60.06,4,0,0.0,0,1,2,12.92,69.11,-0.01,-1.43,-0.98,-1.6,-0.92,-0.99,0.69,293.0,4.88,0.48,182.0,3.03,1.06,696.0,11.6,1,0,0,0,0,0,0,0,-7.68,0,4,0,0,2,0.55,0,0,1,1.0
309,974.74,55,0,1.0,21,35,0,137.02,626.17,-0.31,-8.6,-0.87,-6.46,-15.33,-6.31,0.92,8120.0,8.33,-3.78,0.163,0.000167,7.23,16400000000.0,16800000.0,0,0,1,0,0,0,0,0,-18.35,2,3,2,1,5,0.11,0,2,2,6.43
310,367.4,27,16,0.26,6,7,3,101.87,113.2,2.31,2.38,1.32,1.57,4.19,2.36,-3.66,0.0804,0.000219,-4.4,0.0147,4e-05,-7.12,2.77e-05,7.55e-08,1,0,1,0,0,0,0,1,-6.85,0,0,0,0,0,0.56,1,0,1,2.95
311,213.16,15,6,0.22,3,5,1,45.04,113.89,0.72,-2.02,-0.56,-3.31,0.39,-0.96,0.01,220.0,1.03,0.15,303.0,1.42,-1.0,21.2,0.0995,1,0,0,0,0,0,0,0,-9.03,0,1,0,0,1,0.56,0,0,1,2.16
312,439.37,31,6,0.44,16,10,3,95.75,203.51,0.82,-0.11,-3.39,-0.46,0.25,-0.58,-1.58,11.5,0.0262,-3.71,0.0855,0.000195,-2.89,0.57,0.0013,0,0,0,0,0,0,0,0,-9.06,1,1,2,1,2,0.11,0,1,2,3.62
