,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
342,303.2,19,6,0.5,9,2,0,79.07,43.37,2.59,1.7,2.04,3.29,3.75,2.67,-2.43,1.13,0.00371,-2.23,1.8,0.00594,-5.16,0.0021,6.92e-06,1,1,0,0,0,0,1,0,-6.94,0,0,0,0,0,0.85,1,1,1,1.76
343,368.88,25,6,0.61,7,3,3,103.4,78.02,3.37,1.95,0.3,-2.17,2.79,1.25,-3.07,0.313,0.000849,-3.21,0.226,0.000612,-4.73,0.00687,1.86e-05,1,0,1,1,0,0,0,0,-7.17,0,0,0,0,0,0.55,0,1,1,3.76
344,465.51,33,16,0.38,10,8,2,123.99,84.83,4.41,5.43,5.13,-4.01,5.5,3.29,-5.85,0.000664,1.43e-06,-6.97,5.02e-05,1.08e-07,-8.69,9.48e-07,2.04e-09,1,0,0,0,0,0,0,0,-5.28,0,0,0,0,1,0.55,0,1,3,4.08
345,557.63,41,23,0.27,13,6,3,156.31,114.62,3.95,4.96,5.21,3.48,6.15,4.75,-5.98,0.000585,1.05e-06,-7.11,4.38e-05,7.85e-08,-9.13,4.16e-07,7.46e-10,0,0,1,0,1,1,1,1,-6.18,1,3,1,0,0,0.56,0,0,3,4.91
346,350.41,24,6,0.44,5,5,3,92.84,143.68,1.0,-1.13,-3.86,-6.21,0.01,-2.04,-1.16,24.5,0.0699,-1.4,14.1,0.0402,-2.21,2.16,0.00615,0,0,0,0,0,0,0,0,-9.24,0,1,1,1,0,0.55,0,0,1,4.2
347,248.09,14,0,1.0,5,7,4,45.42,224.89,-11.77,-6.7,-1.11,-6.02,-2.64,-5.65,3.17,369000.0,1490.0,2.68,118000.0,477.0,1.09,3060.0,12.3,0,0,1,0,0,0,0,0,-12.57,0,1,1,1,3,0.55,0,1,1,3.71
348,386.79,25,12,0.18,3,5,0,100.5,47.69,2.94,4.03,5.95,4.11,6.88,4.78,-4.93,0.0045,1.16e-05,-4.73,0.00713,1.84e-05,-7.33,1.83e-05,4.72e-08,1,0,0,1,1,1,0,0,-5.8,0,1,0,1,0,0.55,0,1,2,3.29
349,250.24,19,16,0.0,1,7,3,66.72,123.11,0.88,0.14,-0.79,0.28,3.16,0.73,-2.04,2.3,0.00919,-2.28,1.31,0.00523,-5.26,0.00138,5.5e-06,1,0,0,0,0,0,0,0,-7.73,0,1,0,0,0,0.56,0,0,0,2.74
350,264.35,18,11,0.42,4,4,2,70.9,101.98,-0.26,0.14,0.07,-0.3,3.54,0.64,-1.76,4.64,0.0176,-1.84,3.84,0.0145,-3.71,0.0513,0.000194,1,0,0,0,0,0,0,0,-7.81,0,0,0,0,0,0.55,0,1,0,3.06
351,421.3,27,18,0.05,5,4,1,107.0,84.51,2.41,3.84,5.6,3.24,4.24,3.87,-5.03,0.00389,9.23e-06,-5.31,0.00206,4.89e-06,-8.51,1.31e-06,3.11e-09,1,0,0,0,1,1,0,1,-6.14,0,1,0,0,0,0.55,0,0,2,2.68
352,620.69,42,0,1.0,9,13,13,142.65,362.83,1.31,-8.99,-13.2,-29.31,-9.13,-11.86,2.57,230000.0,371.0,2.16,89400.0,144.0,5.79,382000000.0,615000.0,0,0,1,0,0,0,0,0,-16.47,3,4,1,1,5,0.17,0,0,2,7.67
353,58.1,4,0,0.33,1,0,1,20.03,27.64,1.2,0.03,-0.59,-3.54,-0.21,-0.62,-0.15,40.8,0.703,-0.16,39.9,0.687,-0.19,37.8,0.65,0,0,0,0,0,0,0,0,-6.63,0,4,0,0,3,0.55,0,1,1,1.04
354,317.74,22,12,0.18,5,4,0,82.11,66.43,2.49,3.91,2.48,2.86,3.78,3.1,-4.35,0.0143,4.5e-05,-5.0,0.00315,9.92e-06,-5.4,0.00128,4.02e-06,1,1,0,1,1,0,0,0,-5.46,0,0,0,0,0,0.85,0,0,1,2.11
355,117.15,8,0,0.8,2,2,0,28.35,40.13,-2.19,-0.13,-1.56,-3.67,-3.33,-2.18,-0.35,52.0,0.444,-0.26,64.5,0.551,-0.82,17.6,0.15,0,0,1,0,0,0,0,0,-7.11,0,4,0,0,1,0.55,0,1,1,1.0
356,161.2,11,0,0.86,4,3,1,39.13,60.36,-2.36,-0.84,-1.81,-3.79,-3.22,-2.4,-0.05,145.0,0.899,0.05,182.0,1.13,-0.74,29.1,0.18,1,0,0,0,0,0,0,0,-7.88,0,2,0,0,1,0.55,0,1,1,1.94
357,104.17,7,0,1.0,2,1,1,29.69,20.23,-2.14,-0.4,-0.32,-3.46,-3.0,-1.86,-0.1,82.4,0.791,0.44,286.0,2.75,-1.26,5.74,0.0551,0,0,0,0,0,0,0,0,-7.22,0,2,0,0,1,0.55,0,1,1,1.0
358,646.61,44,0,0.88,13,18,14,139.18,333.59,0.87,-8.67,-9.75,-11.13,-6.34,-7.0,2.47,191000.0,296.0,2.44,178000.0,276.0,5.88,486000000.0,752000.0,0,0,1,0,0,0,0,0,-16.4,3,4,2,1,5,0.17,0,1,2,7.27
359,1118.32,78,20,0.43,20,11,16,315.39,500.08,1.65,-2.49,-9.67,-4.3,-0.17,-3.0,-4.07,0.0942,8.42e-05,-7.47,3.8e-05,3.4e-08,-11.23,6.55e-09,5.86e-12,0,0,1,0,0,0,0,0,-14.89,3,4,2,1,6,0.17,0,3,2,9.18
360,405.35,29,12,0.32,4,8,2,98.74,104.9,2.9,2.08,0.29,-2.71,1.62,0.83,-3.71,0.0798,0.000197,-3.91,0.0496,0.000122,-4.2,0.0254,6.27e-05,1,0,1,0,0,0,0,0,-7.3,0,0,0,0,0,0.55,0,0,1,4.05
361,414.85,30,25,0.09,3,6,0,115.01,85.92,1.85,3.48,2.84,3.44,4.98,3.32,-5.02,0.00393,9.48e-06,-4.97,0.00448,1.08e-05,-8.6,1.05e-06,2.54e-09,1,0,0,0,1,1,0,0,-6.36,0,0,0,0,0,0.56,0,0,1,3.87
362,391.56,28,0,0.96,4,4,2,110.66,80.59,3.11,3.08,3.14,3.88,3.42,3.33,-3.94,0.0445,0.000114,-4.44,0.0142,3.63e-05,-3.13,0.29,0.00074,1,0,1,0,0,0,0,0,-6.5,0,0,0,0,0,0.56,0,0,1,4.89
363,306.44,22,0,0.95,0,3,1,86.96,46.53,2.94,3.74,3.54,3.63,3.44,3.46,-4.1,0.0246,8.01e-05,-4.41,0.0119,3.9e-05,-3.56,0.084,0.000274,1,1,0,0,0,1,0,0,-5.51,0,0,0,0,0,0.55,0,0,1,4.22
364,603.52,43,18,0.34,6,11,2,150.47,105.45,3.77,2.26,6.28,3.8,6.43,4.51,-4.92,0.00727,1.2e-05,-4.11,0.0468,7.75e-05,-9.97,6.47e-08,1.07e-10,0,0,1,0,0,0,0,1,-8.38,1,3,0,1,2,0.55,0,1,1,5.54
365,549.54,40,18,0.34,6,8,2,150.6,105.45,3.56,1.96,4.6,2.71,5.14,3.6,-4.42,0.0209,3.81e-05,-3.8,0.0872,0.000159,-9.2,3.46e-07,6.3e-10,1,0,1,0,0,0,1,1,-8.26,1,2,0,0,0,0.55,0,0,1,5.51
366,60.01,4,0,0.0,0,3,0,6.77,63.19,-0.22,-0.13,-2.45,-1.6,-0.44,-0.97,-0.13,44.5,0.741,-0.74,10.8,0.181,1.49,1850.0,30.8,0,0,0,0,0,0,0,0,-6.76,0,4,0,0,2,0.85,0,0,1,1.32
367,182.15,12,0,1.0,1,6,4,34.63,90.15,0.69,-2.21,-1.82,-1.76,-1.4,-1.3,0.49,562.0,3.08,0.85,1290.0,7.06,1.76,10500.0,57.5,1,0,1,0,0,0,0,0,-8.98,0,2,0,0,2,0.55,0,0,1,4.01
368,573.75,42,18,0.47,10,6,3,172.28,86.4,4.58,4.18,0.97,-4.67,6.64,2.34,-5.69,0.00118,2.05e-06,-5.7,0.00114,1.98e-06,-9.88,7.49e-08,1.31e-10,1,0,1,0,0,0,0,0,-6.83,1,3,0,0,0,0.55,0,0,3,4.47
369,260.25,19,11,0.17,6,4,1,69.41,92.74,1.15,0.91,0.96,0.37,-0.91,0.49,-2.06,2.27,0.00872,-2.44,0.938,0.00361,-3.12,0.197,0.000757,1,0,0,0,0,0,0,0,-7.24,0,0,0,0,0,0.55,0,2,0,2.16
370,329.23,23,6,0.36,4,8,0,72.78,97.03,1.21,2.31,3.89,0.77,1.75,1.99,-3.27,0.179,0.000543,-3.99,0.034,0.000103,-3.8,0.0521,0.000158,1,0,0,0,1,0,0,0,-6.67,0,0,0,0,0,0.55,0,3,0,2.46
371,422.19,27,6,0.4,12,8,2,93.56,161.58,1.68,1.15,-0.33,0.16,0.05,0.54,-2.55,1.18,0.00279,-4.14,0.0307,7.28e-05,-2.76,0.735,0.00174,0,0,0,0,1,0,0,0,-8.06,0,0,2,1,1,0.11,0,3,2,3.38
372,359.44,25,15,0.33,8,6,1,98.43,102.66,-5.31,2.86,2.81,0.95,2.54,0.77,-3.79,0.0588,0.000164,-4.67,0.0076,2.11e-05,-6.42,0.000136,3.78e-07,1,0,1,0,1,0,1,0,-6.46,0,0,0,0,0,0.55,0,1,2,3.78
373,631.59,45,24,0.28,13,10,1,156.2,109.97,4.25,2.63,4.84,0.98,7.04,3.95,-4.95,0.0071,1.12e-05,-4.59,0.0162,2.57e-05,-10.48,2.09e-08,3.31e-11,1,0,1,1,0,1,1,0,-8.29,1,3,1,0,1,0.55,0,0,2,4.76
374,620.67,42,0,1.0,9,14,13,139.85,355.42,0.69,-8.73,-12.45,-25.63,-8.9,-11.0,2.41,158000.0,255.0,2.04,68700.0,111.0,6.01,629000000.0,1010000.0,0,0,1,0,0,0,0,0,-16.28,3,4,1,1,5,0.17,0,0,2,7.58
375,940.95,67,12,0.52,39,17,6,224.98,395.11,2.22,-3.88,-8.72,-8.19,2.72,-3.17,-0.79,153.0,0.163,-3.82,0.142,0.000151,-6.48,0.000309,3.29e-07,0,0,1,0,0,0,0,0,-14.79,3,4,2,1,6,0.11,0,0,2,6.73
376,408.41,27,5,0.33,7,10,2,96.41,221.48,0.91,-0.09,-4.48,-3.35,2.07,-0.99,-1.99,4.17,0.0102,-4.11,0.0318,7.78e-05,-1.36,17.7,0.0434,0,0,0,0,0,0,0,0,-8.86,0,1,1,1,1,0.11,0,1,1,4.41
377,336.36,25,17,0.21,6,5,0,92.83,80.07,2.71,2.69,3.91,0.94,3.14,2.68,-3.73,0.063,0.000187,-4.02,0.0318,9.46e-05,-5.38,0.0014,4.15e-06,1,0,0,1,1,1,0,1,-6.44,0,0,0,0,0,0.56,0,1,0,2.85
378,496.62,35,18,0.35,13,8,1,139.45,99.04,3.28,3.84,4.47,-1.24,3.74,2.82,-4.86,0.00684,1.38e-05,-5.62,0.0012,2.42e-06,-8.75,8.87e-07,1.79e-09,1,0,0,0,1,1,0,0,-6.6,0,2,1,0,0,0.55,0,0,3,3.95
379,548.67,38,12,0.52,13,7,4,143.46,150.0,3.2,2.94,2.05,-1.69,1.46,1.59,-4.47,0.0186,3.39e-05,-5.75,0.000971,1.77e-06,-5.33,0.00255,4.66e-06,0,0,1,0,0,0,0,1,-7.56,1,3,2,1,0,0.55,0,1,2,5.81
380,778.04,54,22,0.47,24,8,5,219.09,196.9,5.27,5.71,2.48,-5.8,7.63,3.06,-6.98,8.17e-05,1.05e-07,-9.61,1.9e-07,2.45e-10,-11.04,7.11e-09,9.14e-12,0,0,1,0,0,0,0,0,-6.99,2,3,2,1,4,0.17,0,0,3,6.78
381,484.56,33,6,0.5,9,9,4,127.86,150.41,2.17,-0.94,0.51,0.42,1.01,0.63,-1.79,7.81,0.0161,-1.73,8.93,0.0184,-3.67,0.103,0.000213,0,0,1,0,0,0,0,0,-9.92,0,1,1,1,1,0.55,0,0,2,5.22
382,515.11,34,6,0.45,13,9,2,116.91,173.99,0.0,2.26,-1.13,0.53,1.33,0.6,-3.73,0.0959,0.000186,-5.55,0.00145,2.82e-06,-4.62,0.0123,2.39e-05,0,0,1,1,1,0,0,0,-7.84,2,2,2,1,1,0.11,0,1,2,3.98
383,330.31,23,0,0.77,5,9,3,82.64,128.89,2.33,-1.15,-1.14,-0.43,-1.42,-0.36,-0.83,48.5,0.147,-1.06,28.5,0.0862,0.61,1340.0,4.06,1,0,1,0,0,0,0,0,-9.13,0,1,0,0,0,0.55,0,3,0,4.58
384,328.38,23,0,0.81,10,6,1,82.24,104.76,3.02,3.13,1.35,1.45,1.95,2.18,-3.19,0.213,0.000649,-5.0,0.00329,1e-05,-2.38,1.36,0.00415,1,0,0,0,1,0,0,0,-6.08,0,0,0,0,0,0.56,0,2,1,3.49
385,316.41,23,6,0.58,7,3,1,89.81,69.23,2.52,4.06,1.93,2.81,3.27,2.92,-4.09,0.0257,8.12e-05,-5.22,0.00191,6.05e-06,-4.23,0.0185,5.83e-05,1,1,0,0,0,0,0,0,-5.35,0,0,0,0,0,0.85,0,0,1,3.18
386,149.21,9,0,0.8,2,2,1,37.91,106.57,0.87,-1.78,-1.94,-3.67,-0.42,-1.39,0.49,459.0,3.08,0.06,171.0,1.14,0.14,207.0,1.39,1,0,0,0,0,0,0,0,-8.47,0,3,0,0,1,0.55,0,1,1,1.83
387,383.37,26,15,0.25,7,9,1,91.05,111.89,-4.97,3.18,3.54,0.45,1.88,0.82,-4.19,0.025,6.53e-05,-5.2,0.00241,6.3e-06,-5.54,0.00111,2.9e-06,1,0,1,0,1,0,0,0,-6.38,0,0,0,0,0,0.55,0,1,1,3.76
388,506.51,34,0,0.85,15,13,3,137.58,158.32,3.1,0.75,0.23,0.14,-0.43,0.76,-2.46,1.74,0.00344,-3.65,0.112,0.000222,-3.2,0.319,0.00063,0,0,1,0,0,0,0,0,-8.86,2,3,2,1,2,0.17,0,4,2,5.72
389,179.15,13,6,0.11,3,4,0,42.96,66.43,1.3,1.19,-0.02,1.51,1.1,1.02,-1.84,2.57,0.0143,-2.18,1.18,0.00659,-1.85,2.55,0.0143,1,0,0,0,0,0,0,0,-6.55,0,0,0,0,1,0.85,0,1,1,1.49
390,306.27,21,11,0.08,5,7,0,74.3,142.68,1.58,1.77,1.28,0.78,1.6,1.4,-2.91,0.375,0.00123,-4.38,0.0126,4.13e-05,-3.25,0.171,0.000557,0,0,0,1,0,0,0,0,-6.91,0,0,1,1,0,0.56,0,3,0,3.08
391,371.32,26,0,0.67,8,10,0,88.28,125.51,2.23,-0.43,-0.9,-0.04,-0.77,0.02,-1.34,16.8,0.0454,-1.74,6.75,0.0182,-0.66,80.9,0.218,1,0,0,0,0,0,1,0,-8.87,1,1,0,0,0,0.56,0,1,2,4.47
392,1127.87,70,0,0.88,22,38,8,186.43,672.2,-2.89,-10.77,-9.69,-8.93,-17.15,-9.89,1.4,28600.0,25.4,-2.49,3.64,0.00323,9.93,9530000000000.0,8450000000.0,0,0,1,0,0,0,0,0,-20.83,3,4,2,1,6,0.11,0,2,2,8.21
393,221.24,13,5,0.25,2,7,1,42.86,151.99,0.39,-0.63,-0.72,-1.88,0.78,-0.41,-0.97,23.8,0.108,-2.09,1.8,0.00814,-0.88,28.9,0.131,0,0,0,0,0,0,0,0,-8.1,0,2,1,1,2,0.11,0,0,1,2.93
394,453.58,33,6,0.67,4,5,2,146.41,94.51,2.85,1.35,-0.91,-2.52,1.21,0.4,-3.37,0.192,0.000423,-2.94,0.525,0.00116,-4.65,0.0101,2.22e-05,1,0,1,0,0,0,0,0,-8.11,0,2,0,0,0,0.55,0,2,1,5.3
395,598.47,35,0,1.0,10,21,2,90.61,367.39,1.68,-5.58,-1.86,-4.9,-9.2,-3.97,0.62,2520.0,4.22,-1.48,20.0,0.0334,5.06,68200000.0,114000.0,0,0,1,0,0,0,0,0,-13.91,2,2,1,1,3,0.11,0,2,2,5.73
396,178.16,13,6,0.11,4,3,1,44.07,69.23,1.06,0.31,-0.83,0.84,0.65,0.4,-1.22,10.8,0.0606,-1.33,8.4,0.0471,-2.17,1.19,0.00668,1,0,0,0,0,0,0,0,-7.17,0,1,0,0,1,0.85,0,0,1,1.0
397,672.74,47,0,0.64,12,9,14,193.08,385.22,-1.05,-7.44,-14.96,-16.76,-5.15,-9.07,1.47,19800.0,29.4,0.08,808.0,1.2,-2.21,4.15,0.00617,0,0,1,0,0,0,0,0,-15.69,3,4,2,1,4,0.17,0,1,2,7.61
398,234.29,17,6,0.43,3,3,1,67.53,38.69,3.13,4.16,2.73,2.25,3.15,3.08,-3.98,0.0247,0.000106,-4.68,0.00489,2.09e-05,-2.93,0.275,0.00117,1,1,0,1,0,1,1,0,-4.78,0,0,0,0,0,0.55,0,0,2,3.23
399,382.39,25,5,0.31,6,9,3,90.86,202.61,0.87,0.19,-4.23,-4.2,0.88,-1.3,-2.08,3.16,0.00827,-4.0,0.038,9.93e-05,-1.16,26.3,0.0687,0,0,0,0,0,0,0,0,-8.5,0,1,1,1,1,0.11,0,2,1,4.43
400,612.91,20,6,0.18,5,4,2,96.92,98.33,1.56,0.58,0.99,2.75,3.48,1.87,-3.9,0.0776,0.000127,-2.22,3.71,0.00605,-5.08,0.00515,8.39e-06,1,0,0,0,0,0,0,1,-9.63,1,1,0,0,1,0.56,0,1,1,2.36
401,543.67,37,12,0.3,9,6,0,143.63,137.41,-7.05,3.63,5.92,3.45,1.8,1.55,-5.14,0.00391,7.18e-06,-6.2,0.00034,6.26e-07,-6.68,0.000112,2.07e-07,0,0,1,0,0,0,0,0,-7.04,1,3,0,2,0,0.56,1,3,3,4.73
402,606.77,41,6,0.81,15,8,2,156.76,88.82,-10.98,10.36,11.56,6.02,7.47,4.89,-9.25,3.44e-07,5.66e-10,-12.17,4.13e-10,6.81e-13,-9.1,4.86e-07,8.02e-10,0,0,1,0,0,0,0,0,-2.65,2,4,1,1,2,0.17,0,2,3,6.03
403,312.45,23,0,0.76,1,2,1,93.43,37.3,3.16,2.73,3.96,3.95,4.17,3.59,-3.43,0.116,0.000371,-3.17,0.212,0.00068,-3.57,0.0835,0.000267,1,1,0,0,0,1,0,0,-6.27,0,0,0,0,0,0.55,0,2,0,5.29
404,298.42,22,0,0.75,0,2,1,88.63,37.3,2.88,2.66,3.57,3.73,3.78,3.32,-3.37,0.128,0.000431,-3.09,0.24,0.000804,-3.17,0.199,0.000668,1,1,0,0,0,1,0,0,-6.23,0,0,0,0,0,0.55,0,2,0,5.17
405,366.49,27,0,0.83,0,3,0,103.21,43.37,3.13,2.47,4.31,4.53,4.12,3.71,-3.67,0.0787,0.000215,-3.03,0.346,0.000944,-4.31,0.0178,4.86e-05,1,1,0,0,0,0,0,0,-6.78,1,0,0,0,0,0.55,0,0,1,5.63
406,289.36,21,6,0.67,0,3,1,79.19,43.29,2.34,3.48,4.42,3.65,3.24,3.43,-4.04,0.0265,9.16e-05,-4.07,0.0245,8.48e-05,-3.79,0.0468,0.000162,1,1,1,0,0,0,1,0,-5.59,0,0,0,0,0,0.85,0,0,0,3.64
407,374.31,27,11,0.32,4,6,1,86.8,80.15,2.35,4.04,5.53,3.6,2.03,3.51,-4.74,0.00676,1.81e-05,-5.43,0.0014,3.74e-06,-3.52,0.113,0.000302,1,0,1,1,1,1,0,0,-5.71,0,0,0,0,0,0.56,0,1,2,4.34
408,173.1,12,5,0.33,2,6,2,31.2,122.78,0.41,-0.69,0.41,-2.25,-0.72,-0.57,-0.65,38.3,0.221,-1.41,6.68,0.0386,0.81,1130.0,6.5,1,0,0,0,0,0,0,0,-7.85,0,2,0,0,1,0.56,0,0,1,3.3
409,445.53,33,18,0.35,7,4,3,131.47,100.83,3.31,1.76,0.84,-1.6,2.91,1.45,-3.65,0.0991,0.000222,-3.49,0.143,0.00032,-6.83,6.64e-05,1.49e-07,1,0,1,0,1,0,0,1,-7.77,0,1,0,0,0,0.55,0,0,1,4.64
410,407.56,29,0,0.96,4,5,3,111.82,100.82,2.84,2.02,2.11,3.05,2.53,2.51,-3.38,0.172,0.000421,-3.76,0.0701,0.000172,-2.31,1.99,0.00489,1,0,1,0,0,0,0,0,-7.35,0,0,0,0,0,0.56,0,0,1,4.99
411,419.62,30,0,0.96,5,4,2,120.27,80.59,3.62,3.87,3.78,4.29,3.94,3.9,-4.55,0.0118,2.82e-05,-5.26,0.00231,5.5e-06,-3.67,0.0903,0.000215,1,0,1,0,0,0,0,0,-6.11,1,1,0,0,0,0.56,0,0,2,5.19
412,719.61,51,14,0.44,13,16,3,165.43,232.86,3.93,4.96,6.33,-0.45,3.47,3.65,-6.77,0.000122,1.69e-07,-9.59,1.86e-07,2.58e-10,-5.66,0.00157,2.18e-06,0,0,1,0,0,0,0,0,-7.17,2,4,2,2,3,0.11,0,1,3,6.28
413,27.03,2,0,0.0,0,1,0,6.67,23.79,0.95,0.07,0.14,-1.01,-0.21,-0.01,-0.05,24.0,0.888,-0.12,20.3,0.753,0.36,61.8,2.29,1,0,0,0,0,0,0,0,-6.42,0,3,0,0,3,0.55,0,0,1,3.73
414,675.96,48,18,0.55,13,4,2,206.25,79.66,-8.45,7.12,5.22,-2.97,4.22,1.03,-7.94,7.83e-06,1.16e-08,-8.61,1.65e-06,2.44e-09,-12.64,1.53e-10,2.27e-13,1,0,1,0,0,0,0,1,-5.37,1,3,1,0,2,0.55,0,1,3,7.49
415,182.22,13,6,0.33,3,3,1,50.88,34.62,-10.67,0.75,-0.85,-3.15,0.05,-2.77,-1.59,4.73,0.026,-1.06,16.0,0.0878,-2.11,1.42,0.00778,0,0,0,0,0,0,0,0,-6.88,0,1,0,0,1,0.55,0,1,1,2.24
416,364.37,24,0,0.71,9,9,0,81.45,153.23,1.81,1.03,-0.0,-0.3,0.26,0.56,-2.15,2.56,0.00701,-3.84,0.0529,0.000145,-0.63,85.8,0.236,0,0,0,0,0,0,0,0,-7.79,0,0,1,1,1,0.55,0,2,2,4.83
417,263.27,20,19,0.0,1,3,1,76.79,41.57,1.89,3.31,4.34,2.23,4.4,3.23,-4.19,0.0168,6.39e-05,-3.86,0.0364,0.000138,-7.01,2.56e-05,9.71e-08,1,1,1,1,0,0,1,1,-5.56,0,0,0,0,0,0.55,0,1,0,2.3
418,144.15,11,10,0.0,0,2,0,41.88,35.95,1.66,2.02,2.38,1.19,2.01,1.85,-2.68,0.302,0.00209,-2.4,0.571,0.00396,-3.1,0.114,0.000791,1,1,0,1,0,0,0,0,-5.75,0,2,0,0,1,0.85,0,0,1,1.04
419,125.1,9,6,0.17,0,3,0,30.08,53.27,1.47,0.09,1.09,-0.84,1.36,0.63,-1.17,8.54,0.0683,-0.76,21.6,0.172,-1.71,2.46,0.0197,1,1,0,0,0,0,0,0,-7.0,0,3,0,0,1,0.85,0,0,1,2.36
420,381.27,24,0,0.93,3,6,3,98.29,85.52,2.49,0.63,-0.14,0.68,0.16,0.77,-2.4,1.51,0.00396,-2.0,3.81,0.00998,-0.92,46.1,0.121,1,0,1,0,0,0,0,0,-8.18,0,0,0,0,0,0.55,0,2,1,5.41
421,573.57,40,18,0.3,6,11,2,146.5,127.24,3.68,3.79,0.29,-3.92,2.54,1.28,-5.72,0.00109,1.9e-06,-6.16,0.0004,6.98e-07,-6.28,0.0003,5.24e-07,1,0,1,0,0,1,0,0,-7.11,1,2,0,0,1,0.55,0,1,2,5.49
422,751.97,53,20,0.33,14,6,0,223.98,137.41,-5.53,8.56,9.77,5.68,7.56,5.21,-9.25,4.23e-07,5.62e-10,-11.32,3.6e-09,4.79e-12,-11.98,7.89e-10,1.05e-12,0,0,1,0,0,0,0,0,-4.81,2,4,1,2,2,0.56,0,3,3,6.06
423,307.32,23,16,0.16,4,4,0,86.69,70.34,2.61,2.7,4.05,2.51,4.36,3.24,-3.7,0.0617,0.000201,-3.83,0.0454,0.000148,-6.33,0.000145,4.71e-07,1,1,0,1,1,1,0,0,-6.26,0,0,0,0,0,0.85,0,1,0,3.76
424,189.99,10,0,1.0,2,7,3,26.99,197.25,-16.48,-4.01,-0.51,-3.16,0.51,-4.73,1.64,8300.0,43.7,0.47,558.0,2.94,1.95,16900.0,89.1,0,0,1,0,0,0,0,0,-10.31,0,3,1,1,4,0.55,0,1,1,4.51
425,866.83,58,32,0.06,9,18,2,199.16,409.92,1.61,4.35,10.52,2.72,1.28,4.09,-7.77,1.48e-05,1.7e-08,-12.67,1.84e-10,2.12e-13,-9.08,7.19e-07,8.3e-10,0,0,0,0,0,0,0,0,-8.5,2,4,1,2,3,0.11,1,3,3,4.94
426,454.51,29,10,0.43,7,10,2,105.71,238.96,0.85,-0.31,-3.77,-3.2,-0.63,-1.41,-2.26,2.52,0.00555,-4.25,0.0257,5.65e-05,-1.19,29.4,0.0647,0,0,0,0,0,0,0,0,-9.29,1,1,1,1,1,0.55,0,0,1,4.7
427,519.57,36,6,0.48,9,10,5,139.75,188.16,1.68,0.5,-7.29,-9.95,-0.69,-3.15,-2.91,0.646,0.00124,-4.02,0.0495,9.52e-05,-2.76,0.899,0.00173,0,0,1,0,0,0,0,0,-9.11,2,3,1,1,1,0.17,0,1,2,4.99
428,419.38,30,12,0.35,4,8,2,103.55,104.9,2.12,2.44,0.68,-2.49,1.85,0.92,-4.01,0.041,9.79e-05,-4.29,0.0217,5.18e-05,-4.47,0.0142,3.39e-05,1,0,1,0,0,0,0,0,-7.13,0,0,0,0,0,0.55,0,0,1,4.16
429,362.21,24,6,0.6,0,13,5,79.08,194.95,-6.93,-3.59,-6.19,-10.23,-2.24,-5.83,-0.01,355.0,0.979,0.08,436.0,1.2,0.1,455.0,1.26,0,0,0,0,0,0,0,0,-11.06,1,1,1,1,3,0.11,0,2,1,4.65
430,424.39,29,5,0.31,9,10,3,99.4,203.09,1.62,-0.16,-3.67,-4.55,-0.97,-1.54,-1.9,5.29,0.0125,-3.65,0.095,0.000224,-1.35,19.1,0.045,0,0,0,0,0,0,0,0,-9.0,1,1,1,1,1,0.55,0,2,2,4.74
431,62.07,4,0,1.0,1,2,2,14.05,40.46,0.7,-1.36,-1.03,-1.15,-0.64,-0.7,0.7,310.0,4.99,1.01,636.0,10.2,0.63,264.0,4.26,1,0,0,0,0,0,0,0,-7.64,0,4,0,0,2,0.55,0,0,1,1.0
432,648.65,42,16,0.52,7,6,1,178.33,162.74,5.21,3.67,1.74,0.1,6.88,3.52,-5.99,0.000658,1.01e-06,-6.78,0.000108,1.67e-07,-7.17,4.36e-05,6.71e-08,0,0,1,0,0,1,0,1,-7.65,1,3,1,1,2,0.11,0,0,2,5.68
433,557.04,40,22,0.2,11,7,2,155.95,113.93,4.53,4.19,3.22,-2.38,6.24,3.16,-5.61,0.00135,2.43e-06,-6.29,0.000285,5.11e-07,-10.15,3.92e-08,7.03e-11,1,0,1,0,1,1,0,0,-6.72,1,2,1,0,0,0.55,0,1,3,4.29
434,389.43,27,6,0.28,6,6,3,101.6,166.74,0.53,-1.42,-3.03,-6.41,0.28,-2.01,-1.13,29.0,0.0744,-1.58,10.3,0.0264,-1.8,6.17,0.0158,0,0,0,0,0,0,0,0,-9.68,0,1,1,1,1,0.55,0,0,1,4.72
