,Mutagenicity,Blood-Brain Barrier Penetration,Oral Bioavailability,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Substrate,CYP2C9 Inhibition,CYP2D6 Substrate,CYP2D6 Inhibition,CYP3A4 Substrate,CYP3A4 Inhibition,Carcinogenicity,Clinical Toxicity,Drug Induced Liver Injury,Human Intestinal Absorption,Androgen Receptor (Ligand Binding Domain),Androgen Receptor (Full Length),Aryl Hydrocarbon Receptor,Aromatase,Estrogen Receptor (Ligand Binding Domain),Estrogen Receptor (Full Length),Peroxisome Proliferator-Activated Receptor Gamma,PAMPA Permeability,P-glycoprotein Inhibition,Nrf2-Antioxidant Responsive Element,ATPase Family AAA Domain-Containing Protein 5 (ATAD5),Heat Shock Factor Response Element,Mitochondrial Membrane Potential,Tumor Protein p53,Skin Reaction,hERG Blocking,Cell Effective Permeability,Drug Clearance (Hepatocyte),Drug Clearance (Microsome),Half Life,Hydration Free Energy,Acute Toxicity LD50,Lipophilicity,Plasma Protein Binding Rate,Aqueous Solubility,Volume of Distribution at Steady State
0,0.0506404113024473,0.6063185155391693,0.3097591757774353,0.0508245632052421,0.0552401535212993,0.1036551150493323,0.0092153712292201,0.657319289445877,0.4466683983802795,0.5301219463348389,0.0150691079907119,0.0148627144284546,0.0095760980504564,0.0921020723879337,0.8047699570655823,0.0950936160981655,0.0983727164566516,0.1670267730951309,0.0096682932693511,0.0341403622180223,0.2920332968235016,0.0013614642495667,0.5343463778495788,0.0936963096261024,0.0229691400192677,0.0066182824783027,0.0098882220918312,0.0084452825598418,0.0128017145209014,0.5137054473161697,0.6861911654472351,-5.4023725233748525,74.96925429944253,35.36832267043951,-26.36145674212255,-11.589255081215349,3.1527290807790185,1.064533755969103,72.73253266428864,-2.2320768188773936,2.204919688785873
1,0.1716056771576404,0.5289377450942994,0.4125370472669601,0.1734778985381126,0.1724262572824955,0.1203443959355354,0.0277897456195205,0.3621616184711456,0.6080487370491028,0.535134881734848,0.4024950802326202,0.1405114367604255,0.0380237631499767,0.4139288932085037,0.8295336961746216,0.05353998914361,0.0513002563267946,0.1001266937702894,0.0355568051338195,0.0568331245332956,0.2211621075868606,0.0057519274938385,0.5366219103336334,0.2652712628245354,0.1804113134741783,0.0066154216881841,0.010791411017999,0.0313082052394747,0.0188622209243476,0.4728244125843048,0.7887492775917053,-4.980390930160948,56.19672154731503,30.707713574038127,-20.44215430238592,-11.998452598152886,2.677419984050659,1.9726019855027888,78.38591160090614,-2.292585027226033,14.119035650221615
2,0.0749139443039894,0.3291171796619892,0.3739944130182266,0.0117547889705747,0.0208665437996387,0.0834790084511041,0.0067256323061883,0.704759418964386,0.7964022040367127,0.6758978486061096,0.1278106167912483,0.1373153921216726,0.0080116131110116,0.0322903183288872,0.2015262611210346,0.0068958509713411,0.0226410550065338,0.0102995089720934,0.0055118084885179,0.010065216384828,0.1235647588968276,0.0007955178847623,0.6008630156517029,0.2746318563818931,0.0697224386036396,0.0011067633749917,0.0049345965147949,0.0174772082827985,0.001781946409028,0.5004905343055726,0.9267010807991028,-5.42770080111046,21.932012993570343,13.33903667069456,-2.455446456001129,-8.743086536174765,2.917548487049476,1.7509745787111606,72.26543808037638,-1.8522454248746645,-1.161877558106664
3,0.2874337628483772,0.1364498402923345,0.2035937927663326,3.529356409543993e-05,0.0006287751394502,0.0382343313889578,3.058361108454477e-05,0.1418628431856632,0.001521914463683,0.06938999556005,2.373475347550169e-06,0.0632096317596733,6.77240920015483e-05,0.0027026998650399,0.0552361678681336,0.0005152563127921,0.0058824081206694,0.0006506968547,1.0679383348488614e-05,0.0026405744021758,0.0487368710339069,1.5826629489432836e-06,0.1487469913379754,2.868071611885625e-05,0.006662229791982,9.512080329443506e-06,4.059086799514944e-05,3.130195341114472e-05,0.0001211519792832,0.9576407432556152,0.0081051627057604,-5.422057365341848,-41.99043288214605,-33.46922322146983,-29.87136467144959,-12.19918236869158,2.5473733219697903,-2.210709414423222,-28.978708806478306,-0.2132482059478679,-0.4483689050572407
4,0.0560511492192745,0.8144097924232483,0.9883896350860596,0.0865292742848396,0.2741449147462845,0.7378433585166931,0.2470630317926407,0.0302443049848079,0.0012975349585758,0.2801136344671249,0.0026204651454463,0.4881897687911987,0.004111284809187,0.9543150782585144,0.9998334288597108,0.0019407502550166,0.0327787986025214,0.0296265034005045,0.0117824491113424,0.0096737910993397,0.2119463592767715,0.1360779508948326,0.8136821389198303,0.0099996878183446,0.0267918091267347,0.0177850762382149,0.0012367982300929,0.0037776462384499,0.0018949843011796,0.1854963541030883,0.0115430916659533,-4.2642527996440975,17.276201377027057,25.59143622943734,-21.932289979459863,-7.38200224714997,2.539729802089905,0.0602321396471254,92.186895833029,-3.454159069145516,1.3147610673835608
5,0.0042574523482471,0.5063201487064362,0.9590898394584656,0.0161412801593542,0.0774077117443084,0.6026883125305176,0.1028131395578384,0.0166576698422431,0.0018433789140544,0.1634778916835784,0.0013063594698905,0.2533854782581329,0.0028686473262496,0.924104142189026,0.9972925782203674,0.0033537514158524,0.0338588401675224,0.0074317159131169,0.0035088753327727,0.0095211282372474,0.2596444949507713,0.0602031402289867,0.6118586361408234,0.0124536765739321,0.0162643575109541,0.0059085253626108,0.0013830306124873,0.0039000053424388,0.0008387907641008,0.2393446564674377,0.0028042820049449,-4.2713232090853,14.339313544485126,6.009712600294347,-5.790000725783121,-9.29297170775869,2.192214188451836,-0.4654115970757158,88.31709134469314,-3.148045600445901,2.3798665372635783
6,0.026700522750616,0.1257036674767732,0.3402618065476417,0.0081834607757627,0.0255145243834704,0.0636060323566198,0.0068777559674344,0.2610078692436218,0.8595159649848938,0.6837567090988159,0.3082029178738594,0.1279567390680313,0.0112460677977651,0.0180088248569518,0.3084472045302391,0.01229297388345,0.0168841262347996,0.005483449762687,0.0102671455591917,0.0158132087439298,0.126079973578453,0.0013173346582334,0.6139140903949738,0.5991532325744628,0.0902115367352962,0.0001606730977073,0.0124946600757539,0.058787415921688,0.0029238266171887,0.5119750678539277,0.8878707647323608,-5.649237370590433,-0.4094834483648711,4.224295316225958,44.9697719119684,-10.39158661621972,3.42879257385108,2.522343974082624,82.09835759919027,-3.098173108350097,3.853041356665419
7,0.1770343154668808,0.9449575543403624,0.634074354171753,0.7506881952285767,0.1383335992693901,0.3697881460189819,0.0055159272626042,0.8331532120704651,0.6758477568626404,0.7355261445045471,0.0837421737611293,0.0872572664171457,0.0038466973463073,0.139543642103672,0.8278496861457825,0.0061886722687631,0.0171709587797522,0.1117532648146152,0.1547975346446037,0.058923590183258,0.0951499186456203,0.0038894331431947,0.8489765286445617,0.305649048089981,0.0970148678869009,0.0033338299952447,0.020508234295994,0.2450128406286239,0.0141557100228965,0.8955777287483215,0.9339914798736572,-4.69125851637984,74.53050521004369,14.521029640408054,6.25564599010084,-7.405160446739494,2.746005083420033,1.6764608745900034,74.95161516983788,-3.1712213853503206,6.600004339734393
8,0.0077195294667035,0.8112865447998047,0.6254606723785401,0.021285044401884,0.0107732111238874,0.1093728393316268,0.0001538353000796,0.6703077375888824,0.4025635302066803,0.191678674519062,0.0002567185292718,0.0582016926258802,0.0003701004810864,0.001627268717857,0.9134216785430908,0.0002170197607483,0.0090182621031999,0.0022682089242152,0.0004636691359337,0.0017312611453235,0.1063694082200527,2.204433051531396e-05,0.7121955692768097,0.0014053901890292,0.0036982581019401,1.5263435625456622e-05,0.0003331702930154,0.0004926163703203,1.2988638650313078e-05,0.9450420379638672,0.2237094774842262,-4.30530484314917,63.19587445415964,-1.044210654741029,-9.03206403308003,-6.694013672825645,2.8535615775920973,0.0916448331022452,17.78868711534433,-0.7457946491898746,6.38984772010497
9,0.2685363382101059,0.1441240016371011,0.3788057863712311,0.2735614269971848,0.9121931314468384,0.1067651256918907,0.7556535124778747,0.1351008847355842,0.7509427189826965,0.7972268104553223,0.967118227481842,0.1830479681491851,0.0336855811066925,0.7400897383689881,0.9702046036720277,0.0100950744003057,0.0161318704951554,0.4103022903203964,0.4725169241428375,0.036022600531578,0.1052468165755271,0.0586452724412083,0.6297025442123413,0.6803457498550415,0.8697991013526917,0.0130561773432418,0.1859008163213729,0.3595242142677307,0.1367344588041305,0.4098720431327819,0.9217434525489808,-5.267285728494621,35.58454086291887,42.485820396593226,-27.81117220493603,-11.081198400820792,2.97506371350988,2.392775047016866,93.19014975935866,-3.2860891493184154,3.2224592941383703
